id,transaction_type,transaction_created_date,transaction_modified_date,product_id,quantity,purchase_order_id,customer_order_id,comments
93,2,2006-03-24 14:55:39,2006-04-04 11:06:13,5,25,,,
113,1,2006-04-04 11:03:12,2006-04-04 11:03:12,72,50,,,
114,2,2006-04-04 11:03:14,2006-04-04 11:08:49,72,50,,,"Fill Back Ordered product, Order #46"
112,2,2006-04-04 11:02:58,2006-04-04 11:07:37,19,25,,,"Fill Back Ordered product, Order #48"
131,2,2006-04-04 11:41:39,2006-04-04 11:41:45,72,40,,,
105,1,2006-04-04 11:01:55,2006-04-04 11:01:55,8,25,,,
121,2,2006-04-04 11:36:39,2006-04-04 11:36:47,6,90,,,
96,3,2006-03-30 16:46:34,2006-03-30 16:46:34,34,12,,,
135,2,2006-04-04 11:43:05,2006-04-04 11:43:08,52,40,,,
85,2,2006-03-24 14:48:23,2006-04-04 11:41:14,4,10,,,
133,2,2006-04-04 11:42:24,2006-04-04 11:42:26,8,3,,,
101,2,2006-04-04 11:00:56,2006-04-04 11:08:49,57,100,,,"Fill Back Ordered product, Order #46"
123,2,2006-04-04 11:37:45,2006-04-04 11:37:49,48,40,,,
108,2,2006-04-04 11:02:19,2006-04-04 11:08:14,34,300,,,"Fill Back Ordered product, Order #47"
103,1,2006-04-04 11:01:35,2006-04-04 11:01:35,43,250,,,
74,1,2006-03-24 10:53:13,2006-03-24 10:53:13,48,100,,,
107,1,2006-04-04 11:02:17,2006-04-04 11:02:17,34,300,,,
91,2,2006-03-24 14:51:03,2006-04-04 11:09:24,40,50,,,
132,2,2006-04-04 11:42:17,2006-04-04 11:42:26,3,50,,,
52,1,2006-03-22 16:04:41,2006-03-22 16:04:41,74,20,,,
47,1,2006-03-22 16:04:20,2006-03-22 16:04:20,21,20,,,
45,1,2006-03-22 16:04:12,2006-03-22 16:04:12,19,20,,,
59,1,2006-03-22 16:05:47,2006-03-22 16:05:47,1,40,,,
49,1,2006-03-22 16:04:28,2006-03-22 16:04:28,41,40,,,
56,1,2006-03-22 16:05:14,2006-03-22 16:05:14,5,40,,,
36,1,2006-03-22 16:02:48,2006-03-22 16:02:48,72,40,,,
43,1,2006-03-22 16:04:02,2006-03-22 16:04:02,14,40,,,
51,1,2006-03-22 16:04:38,2006-03-22 16:04:38,51,40,,,
46,1,2006-03-22 16:04:17,2006-03-22 16:04:17,20,40,,,
42,1,2006-03-22 16:03:54,2006-03-22 16:03:54,8,40,,,
41,1,2006-03-22 16:03:47,2006-03-22 16:03:47,7,40,,,
57,1,2006-03-22 16:05:26,2006-03-22 16:05:26,65,40,,,
44,1,2006-03-22 16:04:07,2006-03-22 16:04:07,17,40,,,
55,1,2006-03-22 16:05:11,2006-03-22 16:05:11,4,40,,,
53,1,2006-03-22 16:04:45,2006-03-22 16:04:45,77,60,,,
60,1,2006-03-22 16:05:51,2006-03-22 16:05:51,34,60,,,
35,1,2006-03-22 16:02:28,2006-03-22 16:02:28,80,75,,,
39,1,2006-03-22 16:03:14,2006-03-22 16:03:14,57,80,,,
58,1,2006-03-22 16:05:32,2006-03-22 16:05:32,66,80,,,
54,1,2006-03-22 16:05:07,2006-03-22 16:05:07,3,100,,,
40,1,2006-03-22 16:03:40,2006-03-22 16:03:40,6,100,,,
37,1,2006-03-22 16:03:04,2006-03-22 16:03:04,52,100,,,
50,1,2006-03-22 16:04:31,2006-03-22 16:04:31,48,100,,,
61,1,2006-03-22 16:06:00,2006-03-22 16:06:00,43,100,,,
48,1,2006-03-22 16:04:24,2006-03-22 16:04:24,40,120,,,
38,1,2006-03-22 16:03:09,2006-03-22 16:03:09,56,120,,,
62,1,2006-03-22 16:06:03,2006-03-22 16:06:03,81,125,,,
72,1,2006-03-24 10:41:30,2006-03-24 10:41:30,81,200,,,
70,2,2006-03-22 16:11:56,2006-03-24 10:59:41,48,10,,,
65,2,2006-03-22 16:08:29,2006-03-22 16:08:59,51,10,,,
66,2,2006-03-22 16:08:37,2006-03-22 16:08:59,80,10,,,
64,2,2006-03-22 16:08:19,2006-03-22 16:08:59,7,10,,,
67,2,2006-03-22 16:09:46,2006-03-22 16:10:27,1,15,,,
71,2,2006-03-22 16:12:29,2006-03-24 10:57:38,8,17,,,
68,2,2006-03-22 16:10:06,2006-03-22 16:10:27,43,20,,,
69,2,2006-03-22 16:11:39,2006-03-24 11:00:55,19,20,,,
63,2,2006-03-22 16:07:56,2006-03-24 11:03:00,80,30,,,
124,2,2006-04-04 11:38:07,2006-04-04 11:38:11,48,40,,,
117,2,2006-04-04 11:04:55,2006-04-04 11:05:04,34,87,,,
92,2,2006-03-24 14:55:03,2006-04-04 11:06:56,21,20,,,
79,2,2006-03-24 10:54:07,2006-03-24 10:58:40,41,200,,,"Fill Back Ordered product, Order #36"
130,2,2006-04-04 11:40:32,2006-04-04 11:40:38,74,20,,,
125,2,2006-04-04 11:38:27,2006-04-04 11:38:32,41,10,,,
102,1,2006-04-04 11:01:14,2006-04-04 11:01:14,34,50,,,
77,2,2006-03-24 10:53:39,2006-03-24 10:56:57,43,300,,,"Fill Back Ordered product, Order #38"
89,3,2006-03-24 14:50:14,2006-03-24 14:50:14,43,25,,,
95,2,2006-03-24 14:56:09,2006-04-04 11:06:13,40,30,,,
106,2,2006-04-04 11:01:58,2006-04-04 11:07:37,8,25,,,"Fill Back Ordered product, Order #48"
126,2,2006-04-04 11:38:48,2006-04-04 11:38:53,43,5,,,
82,1,2006-03-24 10:54:58,2006-03-24 10:54:58,34,100,,,
81,2,2006-03-24 10:54:35,2006-03-24 11:02:02,19,30,,,"Fill Back Ordered product, Order #33"
128,2,2006-04-04 11:39:50,2006-04-04 11:39:53,8,20,,,
97,3,2006-03-30 17:23:27,2006-03-30 17:23:27,34,10,,,
76,1,2006-03-24 10:53:36,2006-03-24 10:53:36,43,300,,,
88,3,2006-03-24 14:50:09,2006-03-24 14:50:09,1,25,,,
78,1,2006-03-24 10:54:04,2006-03-24 10:54:04,41,200,,,
120,2,2006-04-04 11:36:15,2006-04-04 11:36:21,17,40,,,
87,3,2006-03-24 14:49:20,2006-03-24 14:49:20,81,50,,,
94,2,2006-03-24 14:55:52,2006-04-04 11:06:13,41,30,,,
110,2,2006-04-04 11:02:39,2006-04-04 11:41:14,19,10,,,"Fill Back Ordered product, Order #42"
80,1,2006-03-24 10:54:33,2006-03-24 10:54:33,19,30,,,
100,1,2006-04-04 11:00:54,2006-04-04 11:00:54,57,100,,,
122,2,2006-04-04 11:37:06,2006-04-04 11:37:09,4,30,,,
134,2,2006-04-04 11:42:48,2006-04-04 11:43:08,20,40,,,
84,2,2006-03-24 14:48:15,2006-04-04 11:41:14,6,10,,,
115,1,2006-04-04 11:03:38,2006-04-04 11:03:38,41,50,,,
118,2,2006-04-04 11:35:50,2006-04-04 11:35:54,51,30,,,
116,2,2006-04-04 11:03:39,2006-04-04 11:09:24,41,50,,,"Fill Back Ordered product, Order #45"
111,1,2006-04-04 11:02:56,2006-04-04 11:02:56,19,10,,,
109,1,2006-04-04 11:02:37,2006-04-04 11:02:37,19,25,,,
86,3,2006-03-24 14:49:16,2006-03-24 14:49:16,80,20,,,
104,3,2006-04-04 11:01:37,2006-04-04 11:01:37,43,300,,,"Fill Back Ordered product, Order #41"
119,2,2006-04-04 11:35:51,2006-04-04 11:35:54,7,30,,,
73,2,2006-03-24 10:41:33,2006-03-24 10:41:42,81,200,,,"Fill Back Ordered product, Order #40"
129,2,2006-04-04 11:40:13,2006-04-04 11:40:16,80,15,,,
127,2,2006-04-04 11:39:12,2006-04-04 11:39:29,40,40,,,
75,2,2006-03-24 10:53:16,2006-03-24 10:55:46,48,100,,,"Fill Back Ordered product, Order #39"
136,3,2006-04-25 17:04:05,2006-04-25 17:04:57,56,110,,,
90,3,2006-03-24 14:50:18,2006-03-24 14:50:18,81,25,,,
99,2,2006-04-03 13:50:08,2006-04-03 13:50:15,48,10,,,
83,2,2006-03-24 10:55:02,2006-03-24 11:03:00,34,100,,,"Fill Back Ordered product, Order #30"
98,3,2006-03-30 17:24:33,2006-03-30 17:24:33,34,1,,,
